Request,Politeness
"I wasn't aware my statement was supposed to cause worry. Is there something I'm missing?",0
"Are you saying that it's impossible for Wikipedia to admit that most people don't know the true meaning of slavery? That it's my point of view & original research in understanding what the true meaning of slavery is?",0
"Since this person made a sincere attempt to discuss the page, and the page in his opinion was relevent, you can remove this warning from his talk page? In the spirit of <url>, perhaps?",1
"Let me know when's convenient and I'll put the kettle on. Tea or coffee?",1
"When creating <url>, I also had to create <url>, <url> and <url>. I was wondering if you could populate them?",1
"You recently attached a <nowiki><person></nowiki> tag to an article about an Azeri poet. May I ask why?",1
"Your <url> is a brilliant idea! Would you mind if I linked to it from my collection of Useful things on my user page?",1
"Nice tune Modernist <url>. You owe me one back?",0
"How exactly is it unclear? The ships link to the same place, the prefix HMS comes before ''Eagle'' to show her name change... what's not there that should be?",0
"Don't you think you should remove the welcoming plate of cookies you left at User:Dococe page???",0
"Hey poetic decay, I was planing on merging <url>, <url>, <url>, <url> and <url> together. You think you could help me with it?",1
"Your resolution was to move it back to Detective Terry Crowley again? Why do you keep doing that?",0
"Dan, can you take a look at the last exchange regarding the 1952 election? Looking at the citations, is there doubt in your mind that there was a deal, or at least that it has been widely suggested by reliable sources that there was a deal?",1
"Hi, I think that you do a fantastic job on DELSORT. However, I was just wondering if, when you add to Schools, whether you would be good enough to add them to the appropriate section, please?",1
"The press is calling you bisexual. Did you know that?",0
"<url>???",0
"Iulius! Could you provide exact reference of article u017dirmu016bnai part ''Demographics'' ethnicity composition?",0
"This page, which you recently edited on, is constantly getting vandalized by a rival school. Could you please put an edit lock on the page?",1
"You have given your point by point rebuttals to my reasons several times. How can you say I haven't provided my reasoning?",0
"Well, I suppose it is only reasonable for you to conclude that everyone behaves as you and your allies do. If good typography is whatever Dicklyon likes, why shouldn't the truth be whatever subserves Dicklyon's cause?",0
"Hi, You stated the editor is inactive, yet the editor is stalking me through MY CONTRIBUTIONS and reverting my entries and the editor left a message on the top of my TALK page, so why would you not block them ? You didn't even give them a warning ?",0
"While watching the contribs I noticed that the bot blanked <url> which has already been checked and is listed at <url>. Isn't that supposed to be the thing that these lists of MRGs were supposed to prevent?",0
"Well, for a start, why is this irreplaceable? He's still alive, so what's to stop someone taking a picture and releasing it under a free license?",0
"Thanks for the info but the page is still giving the same warnings. Any ideas why this might be happening?",1
"Thank you for the response on my user page. Would you be willing to add a few words to the FAC candidacy?",1
"Good luck on your <url>. What time is <url> <url>?",1
"Sure thing, and thank you for noticing! Is the colour better now?",1
"I don't follow you I was not aware that my edits were vandalism, I was editing according to what had (it appeared to me) been agreed on the talk page, but additional material had been inserted (that had not been agreed upon) that esentialy said the same thing (and was not supported by the sources) that had caused the origioanl disagrement. I think I may have mis-understood you point, are you saying that I can only revert three times if its vandalism, or that my edits were vandalims?",1
"The reason for the malfunctioning redirects is that the character immediately after REDIRECT is not an ordinary space, but a non-breaking space, hex code 0xA0. Out of curiosity: how did you manage to create them?",1
"Since the discussion was not advertised at the affected pages, it did not involve the community. Do you not see that?",0
"You may want to look at the nomination. What did you intend to do?",0
"Howdy Resolute. Is <url> for real?",0
"Where does it say in the policy that it doesn't apply to good users? Where in the policy does it say only soft blocks should be performed?",0
"Sorry, I understand, the bot has just moved the category of the sub-cat, not merged it. Is the bot going to proceed to the next layer - or does that have to be done manually?",1
"Please explain how that is a personal attack? You do realise that someone critisizing your actions is not the same as a personal attack don't you?",0
"Thanks! There is yet another at <url>; would you agree it should be closed the same as the others?",1
"Hi, StuRat. Do you want to participate in <url>?",1
"I'm sorry, but I'm unlikely to have time to help. Maybe try <url>?",1
"I recently was approved for VandalProof, and I installed everything and stuff, but I'm confused on how it is actually run, like what do I click to start it. Could you please help me a little?",1
"Lunch sounds great, Rocket. Do you have an e-mail address I can use to get in touch with you?",1
"Hi, Why were the images <url> from the infobox in <url>? Is this part of an MOS or something?",0
"I aggree... river name then River. Do you think that since it's a list of rivers in China we should use the Chinese name and the international norm name too?",1
"I certainly think more things should be deleted from enwiki, but TheCommunity(tm) is fickle. Are you complaining about something ''I'' did?",0
"I have left a comment on the Talk page under that section. You haven't said much there - is there some place where you present your view with a little more detail?",1
"Why is your AWB robot changing '''&amp;Oslash;''' to the letter '''xd8'''? I asked you if all computers in the World are set up to read &Oslash; ?",0
"Are these two more articles that should be moved on January 1st? Did you get my email about admin nomination for you?",1
"I'm pretty sure there already is a filter (possibly more than one) for this. What page got moved?",1
"The notion that a hunter would kill dozens of birds with a single shot seems outlandish to me. Do you have a reference for this?",0
"Seems like <url> has conveniently quit the wiki all of a sudden. That wasn't one of ''your'' sockpuppets, was it?",0
"Sorry... haven't unblocked many people before. Is it ok now?",1
"eh, i've ALWAYS hated 50 meter pools (200 butterfly was always the BIGGEST pain in the ass) although i really did like butterfly for some reason.... never quite got that, so was it an indoor or outdoor pool????",0
"Nice work, that explains it quite clearly! Any idea who came up with the scheme?",1
"I know what the band Rush is. I'm just wondering if you were joking or didn't know the user was referring to Rush Limbaugh?",0
"I see you removed the review, which makes sense until at least four days from now, when it won't be mentioned on the mainpage at all. But maybe leave a note at <url> so he doesn't feel put-off?",0
"Please stop removing properly referenced information that I have added to this article. This is an article that <b>YOU</b> nominated for deletion, so why are you even editing it?",0
"Hi Eugene, long ago you made a dump of missing articles at <url>. Are you able to produce a new dump like this, as it needs a refresh, otherwise can you point me to how it is done?",1
"You added the name Ken Taylor to the <url> page but there is no such person listed on the DOD website as having received that award. Who were you refering to?",0
"This statement by The Four Deuces <url> makes little sense to me, does this user often obfuscate like this? The source is quite unambiguous in stating communist terrorists how on earth does this not mean the author is talking of communist terrorism?",0
"Hi John. Do you have any more edits to make before I start the merge?",1
"As I've only ever tagged one page for speedy deletion before (and that was an obvious cut-and-paste copyvio), I just want to make sure I tagged it properly. Was db-1 the right tag for <url>?",1
"Thank you for your Wikignome-like edits. What do you think, substantively?",1
"And why exactly am I looking at your monobook? And why did you substitute your user links onto here?",0
"Just FYI, I have decided to be <url> and remove the screenshot at the top of the article. There is already a link to a mirror of goatse.cx in external links, so why force readers to look at that?",0
"You were right that there was a problem, but I see Xn4 has now had a go at it. Perhaps you could look at it again?",1
"I've had enough of this. What would you think about filing a RfC?",0
"I am far from worked up over this, but find it hard to AGF when someone tries to include inaccurate information into an article, claiming it had been checked by an administrator. Who was the administrator?",0
"thanks for your input, it was such a pleasure interacting with you, now that the overlapping projects assessment are done, we need never interact again. projects opting out of policy, how charming, some projects are more equal than others, can i take a vote on SI project opting out of copyright vios?",1
"David Sprenkle was at the University of Illinois in 1982 (at least part of it) while I was there. Were you there too?",1
"Yes, I have. Did you really need to send me a reminder?",0
"Sorry, I completely missed the subsection title. You think this is Merkey?",1
"Holy steaming <url>. I presume you know about the <url>, yes?",0
"Truly Kafkaesque. Did GoRight try to have it taken down?",0
"I consider <url> to be the single most important edit I have ever made. God, what is happening with The Beatles coverage on Wikipedia?",0
"Hi, Matt. Aren't you supposed to be banned?",0
"Hi, Schutz; it's still busted. Would it be OK with you if I asked GimmeBot to take over the mainpage bolding?",1
"You took me by surprise on this one with your comment-what about the obedience a diocesan priest owes to his bishop? And I was under the impression that all Latin-rite priests took simple vows of chastity?",0
"You changed the result here: Weu2019ve already had <url>; do you really want to do it again? The result given is a compromise; are you wanting to upset that?",0
"Hi, I can run a newsletter bot for you, WesleyDodds. Whatcha need me to deliver?",1
"Hi there, it looks like the moving editor has added a bunch of references to the talk page supporting the fact Toto is no longer formally referred to as Moorland Totilas. Do you think if we added one or more of the refs he's added on the talk page to the article we could move it back?",1
"Great. Any reason why SCIRS is still an essay and not a content guideline?",0
"No worries. So back to my question: what software makes them rock like that?",1
"Yeah, at the moment. Unless there are any other dryandras on the cusp of GA-hood....?",0
"The only way I have a naval website is that I am one of the people actively working to make sure Wikipedia has good coverage of naval topics here. Which website do you think I run?",0
"If you're talking about the Recycling Troll, I've never blocked him. Why do you think I have?",0
"I was checking out the article on the Unitarian Society in Fall River that you contributed to, and there's a lot that was wrong. I want to reconcile what you know with what I know so we can get this article right... a little help here?",0
"There is a special tool which shows you page sizes? Would you like to know how to use it?",1
"We have a <url> page on <url> which, we suspect, may be in Slovenian. Could you have a look at it (whether it is Slovenian and, if so, whether it is worth translating)?",1
"And the username? Do you have any thoughts on changing it to something not involving Nazism?",0
"I'm usually polite, but this one seemed to need a slap across the face. It's ... words escape me .. mindboggling... jaw-dropping ... ?",0
"Are you saying that you have a close or imtimate relationship with N.I.?",0
"BTW, nobody else has been keeping that page updated as much as I have worked on it for the entire hockey year, and it would be dead and empty without my work. So, why don't you be positive and praise my work instead of being so picky on such a minor, insignificant thing as putting 'vacant' on-top instead of below a player who no longer is on the team?",0
"Except for the one about the Chevrolet Monza bit at the middle which came from the Prototype book, was in fact come from the Brumos website, but the last time I read that was back in February 2001. Also is with the referencing, the page is now a total mess, is there a way that could be sorted out, I would be very thankful if you could help?",1
"And after seeing this talk page, I'll also note that there is no difference between scalars in math, physics and computing, those articles should all be merged together. :-/ Maybe you'd be interested in doing such a merge?",1
"I responded to your talk page comment, encouraging you to try your hand at reworking it. Good analysis of a potential problem, so why not take a whack at it?",1
"Is this really notable? Time for an AfD nom?",0
"Well it looked as though it had stopped, certainly tapered off for a few days but now some bloody wanker has started adding it again. I don't suppose you know how to get a page protected, I've never had to do it before?",0
"Thanks. As an aside, since this did turn out to be factual, just very hard to source, do you think the community would countenance an unblock request from Blaabla if he accepted some strict unblock conditions (such as packing in the 'systemic bias' thing, discussing his edits in a less confrontational manner etc)?",1
"Everything about <url> looks fantastic, but.. going to |2 instead of |30em seems like a major step back. Is there a reason for it?",1
"I wonder if it would ever be worth doing an article on G&S scholarship? You know, cover the major discoveries, describe the evolution of the field... or is that too likely to hit problems?",1
"Thanks for your help on this, it's much appreciated. Should I delete my request for checkuser?",1
"Yes please! Buffing up ''<url>'' to at least reflect a bit better on current state-of-play-taxonomically would be good :) Any Reliable Sources call it a <url> ?",1
"Okay. What, exactly, can I do about that?",0
"Great job. Will it be done by next week?",1
"It was nominated for speedy deletion because he wasn't notable. However, if I undelete the page, will you improve the article and be able to provide decent sources to help his notability?",1
"Yeah, but playtime is over. Find some articles to edit, yes?",0
"You seem to have an agenda of denying that some of the ancients were pedophiles. Why?",0
"True. What do you think about the notability of this particular article?",1
"Wait a minute! I've done plenty of good edits, where did they all go?",0
"It is disputed among admins regarding the protection of userpages, although the policy says that users can have their user/user sub-pages (but not the talks) semi-protected if the user requests it. Are there other subpages of yours that you'd like protecting?",1
"What fact that was recently prooved is referred to? And since when is pi the ratio of circumference to radius, rather than circumference to diameter?",0
"Alright, I don't like it but is not worth wasting more time on, but (as you now noticed as well) if it ''really'' had been deleted for <url>, it would have been truly problematic. Can I just ask: ''if'' Mephistophelian would return, are we allowed to undelete it?",0
"Thanks! By the way, have you sent anything to Maggie since you received the email from the photographer?",1
"You are right, I apologize not doing so. A different layout for the template could be interesting (perhaps even with names, or those delivered in person/by text) but I didn't quite see the logic in the way you had broken up the dates by 20 year blocks interspaced with 4 year blocks, right?",1
"Nice continued work on the expressway articles. Is it possible to have some maps or schematic diagrams showing the location or routes of the expressways?",1
"I'm not sure what you mean? Add my interests?",0
"At the top of the page it characterizes a guideline as ''a generally accepted standard that editors should follow'' along with a passing reference to <url>. So, I might ask, how would using 4 tildes prevent you from improving or maintaining Wikipedia?",0
"I've added a note to <url> to explain the dating; there's another couple of places it should go, but I don't want to start putting it in 'til you've seen it. What do you reckon?",1
"If you don't agree with this approach, you can ether add the references yourself, or delete the added material and I will go elsewhere and write something else, and you can take over doing the anti-tank warfare article 'properly'. Ok?",0
"Hi there, you entered info in the bio of <url>, saying he is related to <url>. Do you have any more info on the specific relationship, and also how they were related to <url> ?",1
"Are you really denying that you brought Giano and Bishonen's names into this? Seriously?",0
"Six months ago was episode 10, and has peter not been in every episode up to and including that? Seriously, where are you getting your figures?",0
"That's a <url>-length rant. Still, be nice and AGF, okay?",0
"Here, let me parse it out for you:''I regret that because Gravitor and Carfiend's behavior consists of acting in tandem (in the manner of meat or sock puppets), refuse to discuss disputed content on the talk page, and continally provoke revert wars that some administrative intervention is likely required. '' Is it clear now?",0
"I would be willing to move this article to the incubator so that it can be worked on (I agree it wouldn't be an A7 today), though if it's to be made into a real article it needs to be done with someone with no conflict of interest regarding the subject, as creating articles for things you own is highly discouraged. If I undelete it to the incubator would you agree to let it go and leave it up to other users without a conflict of interest?",1
"Hi, Leandrod - my computer is slow, and your last two edits were made on top of vandalism that needed to be reverted - I can't tell if I reverted legit changes by you or not? If I did, I'm sorry, can you have a look?",1
"As a side note, I'm slightly amused that on the one hand, you caution me not to encourage the penguieater troll, explicitly striking out the mocking part, but then in the same breath you sign the finding that cites those same penguin diffs as evidence of terrible insults and intimidation. Slightly inconsistent, perhaps?",0
"I was thinking about creating a page about Nintendo eShop. And since you are a well trusted user I am asking you if you think that would just be deleted because there isn't enough information?",1
"Just wondering, is there any reason why you removed categories from a number of articles and replaced them with the non-existend <url>. Wouldn't <url> have been the better choice, which, as it appears, is a category you yourself created a few days ago?",0
"Changing your userpage doesn't answer my question. Why is your userpage a copy of <url>'s?",0
"Thank you. Was it anything in particular?",1
"I hope Ed's doesn't look like mine. Wait--what is this navbar we're talking about?",0
"To whom are you referring, Hipicrite? Who has a secret opinion?",0
"I saw on the status page that you have a free spot. Would you be able to coach me?",1
"Have made some comments on your list, looks pretty good overall, my points are just picky ones! Any chance you could return the favour and have a look over <url> for me?",1
"Helllo?????",0
"Do we have an automated-edit-using editor who's decided to just stick these in for completeness' sake? Did I miss all this?",0
"I have not seen quotation sections on any other Australian politician page. Also, who chose these quotations? What qualifies as a quotation?",0
"By the way: Do you know how to remove the spaces created below the project banner when others are placed below it? And how to make capitalisation of the rating not matter?",1
"OK, we are talking about two remaining articles here. The categories serve absolutely no categorization purpose, so why are you being stubborn about it?",0
"The information itself obviously demonstrates notability. I'm sure other sources can be found, however&mdash;will you back off if other sources are added?",0
"I notice that to the <url> and <url> pages edited '''''Gorka''''' '''Josxe9 Unda Velasco''' and changed it to simply ''Gorka''. Why?",0
"I know this is a bit outside your usual territory but I wonder if you would be interested in helping us get <url> to FA status in time for the 50th anniversary of the line's closure on 10 June 2011? A question has also arisen in connection with the proper referencing of a journal article using the sfn template: when quoting a journal article - say from January 2010 - should the correct formulation be <nowiki><person></nowiki> or should the month be dropped?",1
"Hi there, I've found some peer-reviewed publications that discuss Hoser's work. Could you take another look at the article and the AfD discussion?",1
"Thank you, Cremepuff222, for the kind words. :) How have you been?",1
"Jeez, Joe, and I was going to suggest you hang around Andrea's to make sure he doesn't do himself a disservice... What is this? Getting blocked is the new cool?",0
"Your reasoning is very sound, it would appear that USGS is wrong and I have no problem with changing it back. In general, what are your thoughts on using the GNIS database for park coordinates/elevations as we convert to the Geobox?",1
"Hi. How do you think, is <url> of FL quality?",1
"What do you mean they are not related to the scope of <url>? Like which articles?",0
"Excellent, thanks! I wonder if it's worth temporarily uploading a cropped image for the main page, as 100x100 is really very small?",1
"Hey thanks for reassessing the <url> article to B class. So what's need to be done to make it GA?",1
"Thanks for adding the WSL windmill picture. I see you are in Belgium, any chance of adding more pictures to the various lists?",1
"At first I couldn't see it, but now that I've taken a closer look I see what you mean. Now, I wonder, who was the first most decorated PR soldier in WW II?",1
"To ''Arbcom''? Aren't we being a bit dramatic here when other forms of dispute resolution have not been tried?",0
"I'm really very sorry, but no, I '''didn't''' know, didn't get a message saying that was wrong. Where was it?",1
"Hey I saw that you're using Huggle and wanted to try it out, too. I downloaded it, but every time I try to open the program I get the message: CLR error: 80004005. The program will now terminate....What can I do to fix the problem?",1
"Good idea.... Perhaps though you could also make a list of kings on that page??",1
"Wow that's old! What do you think of <url>?",0
"Hi, I am having problems with one of the references you added as it goes to the main page and not to one showing any of the figures on religion. Can you have a look at <url>?",1
"When we have a GLAM barnstar then you get it ..... just for the Hindi article! I cannot explain why you needed to create a Derby page in Hindi - surely it should be there already?",0
"Unless im making a major mistake here, this article was about a Not for profit organisation which seemed notable enough to give the origional creator at least some time to source it. Are you sure this had to be a speedy?",0
"Hi there, I've raised the possibility of unprotecting the tamazepam page <url>. What are your thoughts?",1
"In your nom of Everyking you wrote ''...as Everyking is a former administrator, he made over 1,300 in his 2+ year time as a sysop.'' Should that be over 1,300 sysop actions?",0
"Done. Does Adam Hunter need your disambig-style touch?",0
"I'm always happy to give a second opinion on ID - you're welcome to put images on my talk page to discuss them. Regarding <url>, I would tend to go with ''<url>'', what do you think?",1
"I'm sorry, but I don't see the value in having different criteria for two versions of the same list, one sorted by name and one sorted by nationality. Every other list and article on space travel uses the altitude definition, why would the sub-list sorted by nationality be different?",0
