Row ID,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
11,1,358,67.38,48.35,22.55,92.54,35.8,17.88,82.4,61.17,48.6,12.01,8.38,4.47,1.12,1.68,0,1.12,3.63,11.45,6.42,1.68,13.13,8.1,4.19,5.59,0.28,16.48,3.07,2.79,4.47,2.23,0.84,1.4,9.5,0.84,8.66,0.56,0.56,2.23,3.07,1.4,1.96,0,6.98,6.15,0.84,4.75,4.75,0,0,0,0,0,13.41,7.82,0.84,1.12,0,0.28,2.23,5.31,0.28,0,0.28,0,0.84,0,0,0.84,5.87,0,0,4.47,2.51,0,2.79,0,0,0,0,0,0,0,0,1.12,0.28,0.28,0,0,0,0.28,0.28,0,5.31,5.59,0.56,0.56,3.63,0.84,0.28,0,5.03,1.12,3.63,1.96,0.56,0,0.56,0,0,23.18,0.28,1.96,0.56,1.96,1.96,16.48
12,1,55,45.12,8.91,25.81,99,13.75,10.91,87.27,67.27,50.91,12.73,9.09,7.27,1.82,0,0,0,3.64,9.09,0,1.82,14.55,9.09,5.45,5.45,0,21.82,3.64,3.64,1.82,1.82,0,0,16.36,1.82,14.55,1.82,1.82,5.45,3.64,0,3.64,0,16.36,16.36,0,10.91,10.91,0,0,0,0,0,5.45,3.64,1.82,0,0,0,0,1.82,0,0,0,0,0,0,0,0,3.64,0,0,3.64,0,0,3.64,0,0,0,0,0,0,0,0,0,1.82,1.82,0,0,0,0,1.82,0,10.91,5.45,0,1.82,1.82,0,1.82,0,3.64,1.82,7.27,3.64,0,0,0,0,0,27.27,1.82,3.64,1.82,1.82,0,18.18
13,1,493,22.39,65.19,40.8,58.33,17,18.26,85.19,68.15,57.81,15.42,10.55,3.45,0.61,4.67,1.42,0.41,4.87,15.21,4.46,2.43,12.37,12.98,3.85,9.74,1.42,19.88,3.25,6.49,3.04,1.62,0.61,0.81,13.79,0.61,13.18,0.81,1.01,4.26,2.84,0.41,4.67,0,2.84,2.64,0.2,0.61,0.61,0,0,0,0,0,12.17,3.45,1.01,1.01,0,0,1.22,8.52,0.61,0,2.03,0,0,0,0,0,5.88,0.2,0,4.26,2.43,0,0.41,0.2,0.2,0,0,0,0,0,0,0.61,1.01,0,0,0.2,0,0,0,0.41,5.07,6.09,0.41,0.61,4.46,0.61,0,0.41,8.52,4.67,5.88,2.43,0,0,0,0,0,20.89,6.49,3.45,0.41,0,3.65,6.9
14,1,2639,42.26,39.4,63.94,58.81,12.81,18.19,86.06,69.5,54.91,13.91,8.53,3.11,1.82,2.31,0.27,0.99,5.38,12.62,6.56,1.97,13.45,10.99,5.15,7.12,1.97,19.25,6.14,4.05,4.4,2.35,1.25,0.91,16.03,0.87,15.08,2.65,1.4,2.5,3.75,0.34,5.38,0.42,3.33,2.88,0.42,1.06,0.91,0.11,0,0.04,0,0,10.04,3.87,0.83,0.61,0.15,0.08,2.01,6.21,0.11,0,0.38,0,0.8,0.04,0.08,0.68,3.87,0.34,0.11,2.69,1.44,0,0.53,0.19,0.08,0.04,0,0,0,0,0,0.38,0.45,0.64,0.11,0.27,0,0.08,0.38,0.15,6.48,8.68,0.72,1.1,5.53,1.29,0.04,0.45,5.08,3.79,5.91,2.27,0.45,0.27,0.23,0.08,0,23.11,7.88,2.77,0.72,0.15,4.55,7.05
15,1,582,36.93,81.25,36.03,66.27,14.92,17.53,84.36,66.15,54.3,15.12,11.86,3.09,0.69,4.81,1.55,1.55,3.26,13.23,4.3,1.37,13.75,10.14,4.47,8.08,1.2,17.18,5.15,4.81,3.44,2.06,0.86,0.52,13.06,1.2,11.86,1.2,0.86,2.92,2.92,0.34,4.47,0,3.44,3.09,0.17,1.03,0.86,0,0,0,0,0,16.49,5.33,1.89,1.03,0,0,2.92,10.82,0.86,0,2.06,0,0.86,0.17,0,0.69,6.01,0.34,0,4.64,1.72,0,0.17,0,0,0,0,0,0,0,0,0.17,0.52,0.69,0,0.34,0,0,0.17,0.34,4.64,6.36,0.69,0.69,4.98,0.52,0,0.17,6.19,3.78,4.81,1.55,1.03,0.86,0,0,0.17,22.16,6.19,4.64,1.2,0.17,4.3,5.67
16,1,188,37.55,40.06,64.81,70.4,10.44,14.89,90.43,70.74,56.91,12.23,7.45,2.13,1.06,3.19,0,1.06,4.79,13.83,4.26,1.06,13.3,13.83,4.26,5.85,2.13,21.28,7.98,6.91,4.79,1.6,3.19,0,19.15,0.53,18.62,2.66,2.66,3.72,6.38,0,5.85,0,4.26,3.72,0.53,0.53,0.53,0,0,0,0,0,9.04,3.19,0,0.53,0,0,1.6,5.85,0,0,0,0,1.06,0,0,1.06,5.32,0.53,0,4.79,0,0,0,0,0,0,0,0,0,0,0,1.06,1.6,1.6,0,0,0,0,0,0.53,6.38,6.38,1.6,0.53,3.19,1.06,0,0,9.57,2.66,3.72,4.79,0,0,0,0,0,19.68,6.38,1.6,2.66,1.06,3.19,4.79
17,1,187,40.34,71.03,31.78,70.65,11,16.04,83.42,66.31,49.73,12.3,9.09,3.74,2.67,2.14,0,0.53,3.21,8.56,3.74,1.6,13.37,11.23,6.42,6.95,0,23.53,4.81,4.28,5.88,3.74,1.6,0.53,17.65,1.07,16.58,4.81,3.74,4.28,1.07,0.53,2.14,0.53,4.28,3.74,0.53,0.53,0.53,0,0,0,0,0,10.7,4.28,0,0.53,0,0,1.6,6.42,0,0,0,1.07,1.6,0,0,1.6,5.35,0.53,0,4.28,1.6,0,0,0,0,0,0,0,0,0,0,0.53,1.6,0,0,0,0,0,0,1.07,5.88,4.28,0.53,1.07,1.07,1.6,0,0,6.95,4.81,6.42,2.14,0,0,0,0,0,18.18,10.16,1.07,1.6,1.6,2.67,1.07
18,1,688,33.73,56.54,62.75,56.53,10.92,13.66,88.95,73.84,57.99,14.39,9.88,4.07,1.89,1.89,0.15,1.6,4.51,11.63,4.22,3.2,15.41,12.94,8.14,5.81,0.44,22.09,7.41,7.41,3.63,2.18,1.02,0.44,15.7,1.16,14.53,2.91,1.45,3.63,3.05,1.16,3.2,0.44,3.63,2.91,0.58,0.87,0.73,0.15,0,0,0,0.15,9.01,2.18,0.44,0,0,0.15,1.31,6.83,0,0,0.15,0.44,0.58,0,0,0.58,4.51,1.16,0,2.47,1.6,0,0.15,0.15,0.15,0,0,0,0,0,0,1.16,1.02,0.44,0,0.15,0,0,0.29,1.02,8.58,7.7,0.87,0.73,5.38,1.16,0,0.44,7.41,3.49,6.1,2.62,0.44,0.15,0.15,0.15,0,19.33,9.01,1.31,1.02,1.02,4.22,2.76
19,1,198,20.83,49.07,54.11,59.87,12.38,11.62,84.34,71.21,57.07,16.16,12.63,6.06,2.02,1.01,0.51,3.03,3.54,13.13,3.54,1.01,12.12,12.63,7.07,6.06,1.01,21.21,6.06,7.58,4.04,3.54,0.51,0,15.66,1.01,14.14,4.04,0.51,3.03,0,0.51,3.54,0.51,4.04,3.03,0.51,1.52,1.01,0,0,0,0,0,11.11,2.02,0.51,0,0,0,1.52,9.09,1.01,0,1.01,1.01,0,0,0,0,2.53,0,0,2.53,0,0,0,0,0,0,0,0,0,0,0,0.51,1.52,0,0,0,0,0,0,0.51,8.08,5.56,1.01,0,2.53,1.52,0.51,0,6.06,5.56,4.04,3.03,0.51,0,0.51,0,0,19.7,10.1,1.01,0.51,1.52,4.55,2.02
20,1,98,14.33,69.75,30.48,10.19,10.89,18.37,83.67,65.31,51.02,14.29,8.16,2.04,3.06,2.04,0,1.02,6.12,6.12,2.04,5.1,10.2,13.27,6.12,7.14,2.04,23.47,3.06,5.1,7.14,3.06,4.08,0,14.29,0,14.29,3.06,1.02,3.06,4.08,0,4.08,1.02,1.02,0,1.02,0,0,0,0,0,0,0,11.22,3.06,1.02,0,0,0,2.04,8.16,0,0,0,1.02,0,0,0,0,6.12,1.02,0,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,6.12,4.08,0,1.02,0,3.06,0,0,8.16,3.06,5.1,0,0,0,0,0,0,18.37,7.14,2.04,4.08,3.06,2.04,0
